awardID,yearID,lgID,playerID,pointsWon,pointsMax,votesFirst
BBWAA Manager of the Year,2016,NL,bakerdu01,66,150,4
BBWAA Manager of the Year,2017,NL,bakerdu01,25,150,1
BBWAA Manager of the Year,2020,AL,bakerdu01,1,150,0
BBWAA Manager of the Year,2021,AL,bakerdu01,33,150,2
BBWAA Manager of the Year,2022,AL,bakerdu01,31,150,3
BBWAA Manager of the Year,2023,AL,bakerdu01,4,150,0
BBWAA Manager of the Year,2019,AL,baldero01,106,150,13
BBWAA Manager of the Year,2020,AL,baldero01,13,150,0
BBWAA Manager of the Year,2023,AL,baldero01,8,150,0
BBWAA Manager of the Year,2024,AL,baldero01,1,150,0
BBWAA Manager of the Year,2015,AL,banisje01,112,150,17
BBWAA Manager of the Year,2016,AL,banisje01,64,150,4
BBWAA Manager of the Year,2020,NL,bellda01,2,150,0
BBWAA Manager of the Year,2023,NL,bellda01,13,150,1
BBWAA Manager of the Year,2017,NL,blackbu02,43,150,3
BBWAA Manager of the Year,2018,NL,blackbu02,41,150,1
BBWAA Manager of the Year,2015,NL,bochybr01,1,150,0
BBWAA Manager of the Year,2023,AL,bochybr01,61,150,3
BBWAA Manager of the Year,2018,AL,booneaa01,2,150,0
BBWAA Manager of the Year,2019,AL,booneaa01,96,150,13
BBWAA Manager of the Year,2022,AL,booneaa01,4,150,0
BBWAA Manager of the Year,2024,AL,booneaa01,3,150,0
BBWAA Manager of the Year,2018,AL,cashke01,57,150,5
BBWAA Manager of the Year,2019,AL,cashke01,33,150,3
BBWAA Manager of the Year,2020,AL,cashke01,126,150,22
BBWAA Manager of the Year,2021,AL,cashke01,109,150,19
BBWAA Manager of the Year,2022,AL,cashke01,1,150,0
BBWAA Manager of the Year,2023,AL,cashke01,52,150,0
BBWAA Manager of the Year,2015,NL,collite99,49,150,3
BBWAA Manager of the Year,2016,NL,collite99,24,150,2
BBWAA Manager of the Year,2018,AL,coraal01,79,150,7
BBWAA Manager of the Year,2021,AL,coraal01,16,150,1
BBWAA Manager of the Year,2024,AL,coraal01,1,150,0
BBWAA Manager of the Year,2017,NL,counscr01,33,150,3
BBWAA Manager of the Year,2018,NL,counscr01,99,150,11
BBWAA Manager of the Year,2019,NL,counscr01,88,150,13
BBWAA Manager of the Year,2020,NL,counscr01,6,150,1
BBWAA Manager of the Year,2021,NL,counscr01,75,150,1
BBWAA Manager of the Year,2023,NL,counscr01,51,150,5
BBWAA Manager of the Year,2024,AL,espadjo99,6,150,0
BBWAA Manager of the Year,2016,AL,farrejo03,28,150,2
BBWAA Manager of the Year,2016,AL,francte01,128,150,22
BBWAA Manager of the Year,2017,AL,francte01,90,150,11
BBWAA Manager of the Year,2019,AL,francte01,4,150,0
BBWAA Manager of the Year,2022,AL,francte01,112,150,17
BBWAA Manager of the Year,2015,AL,gibbojo02,22,150,1
BBWAA Manager of the Year,2015,AL,girarjo01,12,150,2
BBWAA Manager of the Year,2016,AL,girarjo01,5,150,0
BBWAA Manager of the Year,2017,AL,girarjo01,12,150,0
BBWAA Manager of the Year,2015,AL,hinchaj01,82,150,8
BBWAA Manager of the Year,2017,AL,hinchaj01,56,150,1
BBWAA Manager of the Year,2018,AL,hinchaj01,11,150,0
BBWAA Manager of the Year,2019,AL,hinchaj01,12,150,1
BBWAA Manager of the Year,2021,AL,hinchaj01,3,150,0
BBWAA Manager of the Year,2024,AL,hinchaj01,41,150,1
BBWAA Manager of the Year,2015,NL,hurdlcl01,8,150,0
BBWAA Manager of the Year,2022,AL,hydebr99,79,150,9
BBWAA Manager of the Year,2023,AL,hydebr99,144,150,27
BBWAA Manager of the Year,2020,NL,kaplega01,3,150,0
BBWAA Manager of the Year,2021,NL,kaplega01,143,150,28
BBWAA Manager of the Year,2024,AL,kotsama01,3,150,0
BBWAA Manager of the Year,2021,AL,larusto01,15,150,0
BBWAA Manager of the Year,2017,NL,lovulto01,111,150,18
BBWAA Manager of the Year,2019,NL,lovulto01,2,150,0
BBWAA Manager of the Year,2023,NL,lovulto01,42,150,4
BBWAA Manager of the Year,2024,NL,lovulto01,8,150,0
BBWAA Manager of the Year,2015,NL,maddojo99,124,150,18
BBWAA Manager of the Year,2016,NL,maddojo99,70,150,8
BBWAA Manager of the Year,2017,NL,maddojo99,3,150,0
BBWAA Manager of the Year,2018,NL,maddojo99,6,150,1
