playerID,yearID,stint,teamID,lgID,POS,G,GS,InnOuts,PO,A,E,DP,PB,WP,SB,CS,ZR
abramcj01,2022,1,SDN,NL,RF,3,1,36,4,0,0,0,,,,,
abreuwi02,2023,1,BOS,AL,LF,12,8,228,16,2,0,1,,,,,
abreuwi02,2023,1,BOS,AL,CF,12,11,256,22,0,0,0,,,,,
abreuwi02,2023,1,BOS,AL,RF,3,0,22,2,0,1,0,,,,,
abreuwi02,2024,1,BOS,AL,LF,5,4,111,9,0,0,0,,,,,
abreuwi02,2024,1,BOS,AL,CF,1,0,6,1,0,0,0,,,,,
abreuwi02,2024,1,BOS,AL,RF,125,106,2764,212,9,7,2,,,,,
ackledu01,2015,2,NYA,AL,LF,4,2,57,3,0,0,0,,,,,
ackledu01,2015,1,SEA,AL,LF,63,36,1074,66,1,0,0,,,,,
ackledu01,2015,1,SEA,AL,CF,21,16,418,33,1,0,1,,,,,
ackledu01,2015,1,SEA,AL,RF,2,0,6,0,0,0,0,,,,,
ackledu01,2016,1,NYA,AL,RF,9,6,163,9,1,0,1,,,,,
acunaro01,2018,1,ATL,NL,LF,101,96,2518,146,2,5,0,,,,,
acunaro01,2018,1,ATL,NL,CF,13,8,224,28,1,0,0,,,,,
acunaro01,2018,1,ATL,NL,RF,3,3,66,10,0,0,0,,,,,
acunaro01,2019,1,ATL,NL,LF,46,40,1000,77,3,0,1,,,,,
acunaro01,2019,1,ATL,NL,CF,100,95,2493,206,3,3,0,,,,,
acunaro01,2019,1,ATL,NL,RF,35,19,599,42,4,0,0,,,,,
acunaro01,2020,1,ATL,NL,CF,34,30,645,61,0,0,0,,,,,
acunaro01,2020,1,ATL,NL,RF,28,16,485,41,0,0,0,,,,,
acunaro01,2021,1,ATL,NL,CF,2,1,39,6,0,0,0,,,,,
acunaro01,2021,1,ATL,NL,RF,80,79,1987,128,4,2,0,,,,,
acunaro01,2022,1,ATL,NL,CF,1,0,3,0,0,0,0,,,,,
acunaro01,2022,1,ATL,NL,RF,92,88,2376,150,4,4,0,,,,,
acunaro01,2023,1,ATL,NL,RF,156,156,4083,281,10,5,1,,,,,
acunaro01,2024,1,ATL,NL,RF,48,48,1284,98,2,2,0,,,,,
adamsjo03,2023,1,LAA,AL,LF,3,3,81,7,0,0,0,,,,,
adamsjo03,2023,1,LAA,AL,CF,5,3,81,13,0,2,0,,,,,
adamsjo03,2023,1,LAA,AL,RF,6,4,120,7,0,0,0,,,,,
adamsjo03,2024,1,LAA,AL,LF,1,0,3,0,0,0,0,,,,,
adamsjo03,2024,1,LAA,AL,CF,4,4,117,14,0,0,0,,,,,
adamsjo03,2024,1,LAA,AL,RF,6,5,135,9,0,1,0,,,,,
adamsla01,2017,1,ATL,NL,LF,27,5,255,27,0,1,0,,,,,
adamsla01,2017,1,ATL,NL,CF,11,6,188,12,1,1,0,,,,,
adamsla01,2017,1,ATL,NL,RF,7,2,73,9,0,0,0,,,,,
adamsla01,2018,1,ATL,NL,LF,2,1,33,4,0,0,0,,,,,
adamsla01,2018,1,ATL,NL,CF,2,1,36,3,0,0,0,,,,,
adamsla01,2018,1,ATL,NL,RF,5,0,19,2,0,0,0,,,,,
adamsma01,2017,2,ATL,NL,LF,13,13,285,18,0,2,0,,,,,
adamsma01,2017,1,SLN,NL,LF,6,4,103,7,0,0,0,,,,,
adamsma01,2018,1,WAS,NL,LF,15,12,285,20,1,0,0,,,,,
adamsma01,2018,1,WAS,NL,RF,1,0,12,1,0,0,0,,,,,
adducji02,2017,1,DET,AL,RF,26,22,582,50,2,0,0,,,,,
adducji02,2019,1,CHN,NL,RF,1,1,24,5,0,0,0,,,,,
adelljo01,2020,1,LAA,AL,CF,4,4,96,11,0,1,0,,,,,
adelljo01,2020,1,LAA,AL,RF,34,29,789,61,2,2,0,,,,,
adelljo01,2021,1,LAA,AL,LF,25,17,474,45,0,0,0,,,,,
adelljo01,2021,1,LAA,AL,RF,19,18,434,37,2,0,1,,,,,
adelljo01,2022,1,LAA,AL,LF,69,59,1430,99,4,4,0,,,,,
adelljo01,2022,1,LAA,AL,RF,15,12,339,40,1,1,1,,,,,
adelljo01,2023,1,LAA,AL,LF,2,2,51,6,0,0,0,,,,,
adelljo01,2023,1,LAA,AL,CF,7,7,168,20,0,0,0,,,,,
adelljo01,2023,1,LAA,AL,RF,9,6,170,14,0,0,0,,,,,
adelljo01,2024,1,LAA,AL,CF,4,4,102,6,0,0,0,,,,,
adelljo01,2024,1,LAA,AL,RF,119,113,3005,228,3,4,0,,,,,
adriaeh01,2017,1,MIN,AL,LF,17,9,278,28,1,0,0,,,,,
adriaeh01,2018,1,MIN,AL,LF,5,2,53,3,0,0,0,,,,,
adriaeh01,2019,1,MIN,AL,LF,1,0,3,0,0,0,0,,,,,
adriaeh01,2019,1,MIN,AL,RF,6,5,115,3,1,2,0,,,,,
adriaeh01,2021,1,ATL,NL,LF,6,5,131,11,0,0,0,,,,,
adriaeh01,2021,1,ATL,NL,CF,1,0,6,1,0,0,0,,,,,
adriaeh01,2021,1,ATL,NL,RF,14,11,324,16,1,0,0,,,,,
adriaeh01,2022,1,WAS,NL,LF,9,2,96,7,0,0,0,,,,,
aguilry01,2022,1,LAA,AL,LF,2,2,54,5,0,0,0,,,,,
aguilry01,2022,1,LAA,AL,CF,1,1,21,4,0,0,0,,,,,
aguilry01,2022,1,LAA,AL,RF,5,3,93,3,0,0,0,,,,,
akiyash01,2020,1,CIN,NL,LF,36,30,739,49,2,0,0,,,,,
akiyash01,2020,1,CIN,NL,CF,21,17,404,38,0,0,0,,,,,
