playerID,yearID,teamID,lgID,round,POS,G,GS,InnOuts,PO,A,E,DP,TP,PB,SB,CS
abreubr01,2019,HOU,AL,ALCS,P,1,0,2,0,0,0,0,0,,,
abreubr01,2022,HOU,AL,ALCS,P,3,0,9,0,0,0,0,0,,,
abreubr01,2022,HOU,AL,ALDS2,P,3,0,10,0,0,0,0,0,,,
abreubr01,2022,HOU,AL,WS,P,4,0,15,0,0,0,0,0,,,
abreubr01,2023,HOU,AL,ALCS,P,4,0,12,0,0,0,0,0,,,
abreubr01,2023,HOU,AL,ALDS2,P,1,0,4,0,0,0,0,0,,,
abreubr01,2024,HOU,AL,ALWC1,P,1,0,4,0,1,0,0,,,,
abreujo02,2020,CHA,AL,ALWC4,1B,3,3,75,21,1,0,1,0,,,
abreujo02,2021,CHA,AL,ALDS1,1B,3,3,78,16,3,0,2,0,,,
abreujo02,2023,HOU,AL,ALCS,1B,4,4,108,32,1,0,2,0,,,
abreujo02,2023,HOU,AL,ALDS2,1B,2,2,54,16,1,0,3,0,,,
acunalu01,2024,NYN,NL,NLDS1,2B,3,0,15,1,0,0,0,,,,
acunalu01,2024,NYN,NL,NLCS,2B,1,0,6,0,1,0,0,,,,
acunalu01,2024,NYN,NL,NLWC1,2B,3,0,15,2,1,0,1,,,,
acunaro01,2018,ATL,NL,NLDS2,LF,4,4,102,6,0,1,0,0,,,
acunaro01,2019,ATL,NL,NLDS2,CF,5,5,137,11,0,0,0,0,,,
acunaro01,2020,ATL,NL,NLCS,CF,1,1,9,0,0,0,0,0,,,
acunaro01,2020,ATL,NL,NLDS2,CF,3,3,81,4,0,0,0,0,,,
acunaro01,2020,ATL,NL,NLWC4,CF,2,2,66,1,0,0,0,0,,,
acunaro01,2020,ATL,NL,NLCS,RF,7,6,162,14,0,0,0,0,,,
acunaro01,2022,ATL,NL,NLDS1,RF,4,4,102,5,0,0,0,0,,,
acunaro01,2023,ATL,NL,NLDS1,RF,4,4,102,10,0,0,0,0,,,
adamewi01,2019,TBA,AL,ALDS1,SS,5,5,123,6,13,1,2,0,,,
adamewi01,2019,TBA,AL,ALWC,SS,1,1,27,3,2,0,0,0,,,
adamewi01,2020,TBA,AL,ALCS,SS,7,7,184,11,18,0,8,0,,,
adamewi01,2020,TBA,AL,ALDS1,SS,5,5,132,3,16,2,1,0,,,
