yearkey,leaguekey,teamkey,parkkey,spanfirst,spanlast,games,openings,attendance
2015,NL,ARI,PHO01,2015-04-06,2015-10-04,81,81,2080145
2016,NL,ARI,PHO01,2016-04-04,2016-10-02,81,81,2036216
2017,NL,ARI,PHO01,2017-04-02,2017-09-27,81,81,2134375
2018,NL,ARI,PHO01,2018-03-29,2018-09-26,81,81,2242695
2019,NL,ARI,PHO01,2019-04-05,2019-09-29,81,81,2135510
2020,NL,ARI,PHO01,2020-07-30,2020-09-27,30,0,0
2021,NL,ARI,PHO01,2021-04-09,2021-10-03,81,81,1043010
2022,NL,ARI,PHO01,2022-04-07,2022-09-25,81,81,1605199
2023,NL,ARI,PHO01,2023-04-06,2023-10-01,81,81,1961182
2024,NL,ARI,PHO01,2024-03-28,2024-09-29,81,81,2341876
2015,NL,ATL,ATL02,2015-04-10,2015-10-04,81,80,2001392
2016,NL,ATL,ATL02,2016-04-04,2016-10-02,80,80,2008332
2016,NL,ATL,FTB01,2016-07-03,2016-07-03,1,1,12582
2017,NL,ATL,ATL03,2017-04-14,2017-09-24,81,81,2505252
2018,NL,ATL,ATL03,2018-03-29,2018-09-23,81,81,2555781
2019,NL,ATL,ATL03,2019-04-01,2019-09-22,81,81,2654920
2020,NL,ATL,ATL03,2020-07-29,2020-09-27,30,0,0
2021,NL,ATL,ATL03,2021-04-09,2021-10-03,80,79,2299646
2022,NL,ATL,ATL03,2022-04-07,2022-10-02,81,81,3129931
2023,NL,ATL,ATL03,2023-04-06,2023-10-01,81,81,3191505
2024,NL,ATL,ATL03,2024-04-05,2024-09-30,81,80,3011755
2015,AL,BAL,BAL12,2015-04-10,2015-10-04,78,75,2281202
2016,AL,BAL,BAL12,2016-04-04,2016-09-25,81,81,2172344
2017,AL,BAL,BAL12,2017-04-03,2017-09-24,81,81,2028424
2018,AL,BAL,BAL12,2018-03-29,2018-09-30,81,78,1564192
2019,AL,BAL,BAL12,2019-04-04,2019-09-22,81,80,1307807
2020,AL,BAL,BAL12,2020-07-29,2020-09-20,33,0,0
2021,AL,BAL,BAL12,2021-04-08,2021-09-30,81,78,793229
2022,AL,BAL,BAL12,2022-04-11,2022-10-05,81,78,1368367
2023,AL,BAL,BAL12,2023-04-07,2023-10-01,81,81,1936798
2024,AL,BAL,BAL12,2024-03-28,2024-09-22,81,80,2281129
2015,AL,BOS,BOS07,2015-04-13,2015-09-27,81,81,2880694
2016,AL,BOS,BOS07,2016-04-11,2016-10-02,81,81,2955434
2017,AL,BOS,BOS07,2017-04-03,2017-10-01,81,81,2917678
2018,AL,BOS,BOS07,2018-04-05,2018-09-30,81,81,2895575
