playerID,yearID,teamID,lgID,inseason,G,W,L,rank,plyrMgr
alomasa02,2020,CLE,AL,2,7,5,2,2,N
ausmubr01,2015,DET,AL,1,161,74,87,5,N
ausmubr01,2016,DET,AL,1,160,85,75,2,N
ausmubr01,2017,DET,AL,1,162,64,98,5,N
ausmubr01,2019,LAA,AL,1,162,72,90,4,N
bakerdu01,2016,WAS,NL,1,161,94,67,1,N
bakerdu01,2017,WAS,NL,1,160,95,65,1,N
bakerdu01,2020,HOU,AL,1,60,29,31,2,N
bakerdu01,2021,HOU,AL,1,162,95,67,1,N
bakerdu01,2022,HOU,AL,1,162,106,56,1,N
bakerdu01,2023,HOU,AL,1,162,90,72,1,N
baldero01,2019,MIN,AL,1,162,101,61,1,N
baldero01,2020,MIN,AL,1,60,36,24,1,N
baldero01,2021,MIN,AL,1,157,69,88,5,N
baldero01,2022,MIN,AL,1,162,78,84,3,N
baldero01,2023,MIN,AL,1,162,87,75,1,N
baldero01,2024,MIN,AL,1,162,82,80,4,N
banisje01,2015,TEX,AL,1,162,88,74,1,N
banisje01,2016,TEX,AL,1,162,95,67,1,N
banisje01,2017,TEX,AL,1,162,78,84,3,N
banisje01,2018,TEX,AL,1,152,64,88,5,N
barajro01,2019,SDN,NL,2,8,1,7,5,N
bardjo01,2018,NYA,AL,2,1,0,1,2,N
beaslto99,2022,TEX,AL,2,48,17,31,4,N
bellda01,2019,CIN,NL,1,155,70,85,4,N
bellda01,2020,CIN,NL,1,59,31,28,3,N
bellda01,2021,CIN,NL,1,162,83,79,3,N
bellda01,2022,CIN,NL,1,162,62,100,5,N
bellda01,2023,CIN,NL,1,162,82,80,3,N
bellda01,2024,CIN,NL,1,162,77,85,4,N
benavfr01,2019,CIN,NL,2,7,5,2,4,N
benavfr01,2020,CIN,NL,2,1,0,1,3,N
blackbu02,2015,SDN,NL,1,65,32,33,4,N
blackbu02,2017,COL,NL,1,161,87,74,3,N
blackbu02,2018,COL,NL,1,163,91,72,2,N
blackbu02,2019,COL,NL,1,162,71,91,4,N
blackbu02,2020,COL,NL,1,60,26,34,4,N
blackbu02,2021,COL,NL,1,161,74,87,4,N
blackbu02,2022,COL,NL,1,162,68,94,5,N
blackbu02,2023,COL,NL,1,162,59,103,5,N
blackbu02,2024,COL,NL,1,162,61,101,5,N
bochybr01,2015,SFN,NL,1,162,84,78,2,N
bochybr01,2016,SFN,NL,1,161,86,75,2,N
bochybr01,2017,SFN,NL,1,160,63,97,5,N
bochybr01,2018,SFN,NL,1,162,73,89,4,N
bochybr01,2019,SFN,NL,1,162,77,85,3,N
bochybr01,2023,TEX,AL,1,162,90,72,2,N
bochybr01,2024,TEX,AL,1,162,78,84,3,N
booneaa01,2018,NYA,AL,1,161,100,61,2,N
booneaa01,2019,NYA,AL,1,162,103,59,1,N
booneaa01,2020,NYA,AL,1,60,33,27,2,N
booneaa01,2021,NYA,AL,1,162,92,70,3,N
