yearID,teamID,lgID,playerID,G_all,GS,G_batting,G_defense,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,G_ph,G_pr
2015,ATL,NL,aardsda01,33,0,30,33,33,0,0,0,0,0,0,0,0,0,0,0,0
2015,OAK,AL,abadfe01,62,0,4,62,62,0,0,0,0,0,0,0,0,0,0,0,0
2016,BOS,AL,abadfe01,18,0,2,18,18,0,0,0,0,0,0,0,0,0,0,0,0
2016,MIN,AL,abadfe01,39,0,2,39,39,0,0,0,0,0,0,0,0,0,0,0,0
2017,BOS,AL,abadfe01,48,0,4,48,48,0,0,0,0,0,0,0,0,0,0,0,0
2019,SFN,NL,abadfe01,21,0,18,21,21,0,0,0,0,0,0,0,0,0,0,0,0
2021,BAL,AL,abadfe01,16,0,2,16,16,0,0,0,0,0,0,0,0,0,0,0,0
2023,COL,NL,abadfe01,6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0
2023,CIN,NL,abbotan01,21,21,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0
2024,CIN,NL,abbotan01,25,25,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0
2021,CHN,NL,abbotco01,8,1,8,7,7,0,0,0,0,0,0,0,0,0,0,1,0
2022,WAS,NL,abbotco01,16,9,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0
2023,WAS,NL,abbotco01,22,0,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0
2022,SDN,NL,abramcj01,46,35,46,44,0,0,0,13,0,32,0,0,3,3,2,3,2
2022,WAS,NL,abramcj01,44,43,44,43,0,0,0,0,0,43,0,0,0,0,0,0,1
2023,WAS,NL,abramcj01,151,148,151,151,0,0,0,0,0,151,0,0,0,0,0,2,1
2024,WAS,NL,abramcj01,138,135,138,136,0,0,0,0,0,136,0,0,0,0,0,2,1
2020,NYA,AL,abreual01,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
2021,NYA,AL,abreual01,28,0,3,28,28,0,0,0,0,0,0,0,0,0,0,0,0
2022,KCA,AL,abreual01,4,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0
2022,NYA,AL,abreual01,22,0,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0
2022,TEX,AL,abreual01,7,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0
2023,NYA,AL,abreual01,45,0,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0
2019,HOU,AL,abreubr01,7,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0
2020,HOU,AL,abreubr01,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
2021,HOU,AL,abreubr01,31,0,1,31,31,0,0,0,0,0,0,0,0,0,0,0,0
2022,HOU,AL,abreubr01,55,0,0,55,55,0,0,0,0,0,0,0,0,0,0,0,0
2023,HOU,AL,abreubr01,72,0,0,72,72,0,0,0,0,0,0,0,0,0,0,0,0
2024,HOU,AL,abreubr01,78,0,0,78,78,0,0,0,0,0,0,0,0,0,0,0,0
2015,CHA,AL,abreujo02,154,154,154,115,0,0,115,0,0,0,0,0,0,0,39,0,0
2016,CHA,AL,abreujo02,159,159,159,152,0,0,152,0,0,0,0,0,0,0,7,0,0
2017,CHA,AL,abreujo02,156,156,156,139,0,0,139,0,0,0,0,0,0,0,18,0,0
2018,CHA,AL,abreujo02,128,127,128,114,0,0,114,0,0,0,0,0,0,0,13,1,0
2019,CHA,AL,abreujo02,159,159,159,125,0,0,125,0,0,0,0,0,0,0,34,0,0
2020,CHA,AL,abreujo02,60,60,60,54,0,0,54,0,0,0,0,0,0,0,6,0,0
2021,CHA,AL,abreujo02,152,152,152,136,0,0,135,0,1,0,0,0,0,0,18,0,0
2022,CHA,AL,abreujo02,157,157,157,128,0,0,128,0,0,0,0,0,0,0,29,0,0
2023,HOU,AL,abreujo02,141,141,141,134,0,0,134,0,0,0,0,0,0,0,7,0,0
2024,HOU,AL,abreujo02,35,31,35,35,0,0,35,0,0,0,0,0,0,0,0,2,0
2023,BOS,AL,abreuwi02,28,19,28,25,0,0,0,0,0,0,12,12,3,27,1,6,1
2024,BOS,AL,abreuwi02,132,110,132,130,0,0,0,0,0,0,5,1,125,130,1,20,1
2021,OAK,AL,acevedo01,10,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0
2022,OAK,AL,acevedo01,70,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0,0
2023,OAK,AL,acevedo01,9,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0
2015,MIN,AL,achteaj01,11,0,1,11,11,0,0,0,0,0,0,0,0,0,0,0,0
2016,LAA,AL,achteaj01,27,0,3,27,27,0,0,0,0,0,0,0,0,0,0,0,0
2015,NYA,AL,ackledu01,23,14,23,17,0,0,4,9,0,0,4,0,0,4,2,9,0
2015,SEA,AL,ackledu01,85,53,85,79,0,0,0,1,0,0,63,21,2,78,2,10,7
2016,NYA,AL,ackledu01,28,17,28,22,0,0,13,1,0,0,0,0,9,9,3,6,0
2023,OAK,AL,actonga01,6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0
2024,NYN,NL,acunalu01,14,10,14,12,0,0,0,1,0,12,0,0,0,0,2,0,2
2018,ATL,NL,acunaro01,111,108,111,108,0,0,0,0,0,0,101,13,3,108,1,2,0
2019,ATL,NL,acunaro01,156,154,156,156,0,0,0,0,0,0,46,100,35,156,0,2,0
2020,ATL,NL,acunaro01,46,46,46,46,0,0,0,0,0,0,0,34,28,46,0,0,0
2021,ATL,NL,acunaro01,82,80,82,81,0,0,0,0,0,0,0,2,80,81,0,2,0
2022,ATL,NL,acunaro01,119,115,119,92,0,0,0,0,0,0,0,1,92,92,27,4,0
2023,ATL,NL,acunaro01,158,158,159,156,0,0,0,0,0,0,0,0,156,156,2,0,0
2024,ATL,NL,acunaro01,49,48,49,48,0,0,0,0,0,0,0,0,48,48,0,0,0
2015,COL,NL,adamecr01,26,13,26,15,0,0,0,2,0,13,0,0,0,0,0,11,1
2016,COL,NL,adamecr01,121,43,121,68,0,0,0,11,11,47,0,0,0,0,0,61,1
2017,COL,NL,adamecr01,12,1,12,2,0,0,1,1,0,1,0,0,0,0,0,10,0
2019,SFN,NL,adamecr01,10,5,10,7,0,0,0,4,3,0,0,0,0,0,0,4,1
2018,TBA,AL,adamewi01,85,80,85,83,0,0,0,10,0,75,0,0,0,0,0,4,0
2019,TBA,AL,adamewi01,152,145,152,152,0,0,0,0,0,152,0,0,0,0,0,2,0
2020,TBA,AL,adamewi01,54,51,54,53,0,0,0,0,0,53,0,0,0,0,0,1,1
2021,MIL,NL,adamewi01,99,96,99,96,0,0,0,0,0,96,0,0,0,0,2,2,0
2021,TBA,AL,adamewi01,41,37,41,40,0,0,0,0,0,40,0,0,0,0,0,1,0
2022,MIL,NL,adamewi01,139,138,139,136,0,0,0,0,0,136,0,0,0,0,2,1,0
2023,MIL,NL,adamewi01,149,149,149,147,0,0,0,0,0,147,0,0,0,0,2,0,0
2024,MIL,NL,adamewi01,161,161,161,161,0,0,0,0,0,161,0,0,0,0,0,0,0
2018,KCA,AL,adamja01,31,0,1,31,31,0,0,0,0,0,0,0,0,0,0,0,0
2019,TOR,AL,adamja01,23,0,3,23,23,0,0,0,0,0,0,0,0,0,0,0,0
2020,CHN,NL,adamja01,13,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0
2021,CHN,NL,adamja01,12,0,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0
2022,TBA,AL,adamja01,67,0,0,67,67,0,0,0,0,0,0,0,0,0,0,0,0
2023,TBA,AL,adamja01,56,0,0,56,56,0,0,0,0,0,0,0,0,0,0,0,0
2024,SDN,NL,adamja01,27,0,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0
2024,TBA,AL,adamja01,47,0,0,47,47,0,0,0,0,0,0,0,0,0,0,0,0
2015,CLE,AL,adamsau01,28,0,3,28,28,0,0,0,0,0,0,0,0,0,0,0,0
2016,CLE,AL,adamsau01,19,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0
2019,DET,AL,adamsau01,13,0,1,13,13,0,0,0,0,0,0,0,0,0,0,0,0
2019,MIN,AL,adamsau01,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
2017,WAS,NL,adamsau02,6,0,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0
2018,WAS,NL,adamsau02,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
2019,SEA,AL,adamsau02,29,2,3,29,29,0,0,0,0,0,0,0,0,0,0,0,0
2019,WAS,NL,adamsau02,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2020,SDN,NL,adamsau02,3,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0
2021,SDN,NL,adamsau02,65,0,61,65,65,0,0,0,0,0,0,0,0,0,0,0,0
2022,SDN,NL,adamsau02,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
2023,ARI,NL,adamsau02,24,0,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0
2024,OAK,AL,adamsau02,56,0,0,56,56,0,0,0,0,0,0,0,0,0,0,0,0
2018,NYA,AL,adamsch01,3,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0
2019,NYA,AL,adamsch01,13,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0
