playerID,awardID,yearID,lgID,tie,notes
abreujo02,Player of the Week,2015,AL,Y,Week of 2015-09-20
abreujo02,Player of the Week,2015,AL,Y,Week of 2015-08-02
altuvjo01,Gold Glove,2015,AL,,2B
altuvjo01,Majestic Athletic Always Game Award,2015,ML,,
altuvjo01,Player of the Week,2015,AL,Y,Week of 2015-05-03
altuvjo01,Silver Slugger,2015,AL,,2B
anderco01,Pitcher of the Month,2015,AL,,September
archech01,Player of the Week,2015,AL,,Week of 2015-06-07
archech01,This Year in Baseball Best Social Media Personality,2015,ML,,Esurance
arenano01,Gold Glove,2015,NL,,3B
arenano01,Player of the Month,2015,NL,,September
arenano01,Player of the Week,2015,NL,,Week of 2015-06-28
arenano01,Silver Slugger,2015,NL,,3B
arrieja01,Cy Young Award,2015,NL,,
arrieja01,Pitcher of the Month,2015,NL,,August
arrieja01,Pitcher of the Month,2015,NL,,September
arrieja01,Player of the Week,2015,NL,,Week of 2015-09-27
arrieja01,Player of the Week,2015,NL,,Week of 2015-07-12
arrieja01,Player of the Week,2015,NL,,Week of 2015-08-30
arrieja01,This Year in Baseball Best Breakout Player,2015,ML,,Esurance
arrieja01,This Year in Baseball Best Pitcher,2015,ML,,Esurance
bautijo02,This Year in Baseball Best Play - Offense,2015,ML,,Esurance
bautijo02,This Year in Baseball Best Play - Offense,2015,ML,,Esurance
beltrad01,Player of the Week,2015,AL,,Week of 2015-10-04
bettsmo01,Player of the Week,2015,AL,,Week of 2015-06-21
bogaexa01,Silver Slugger,2015,AL,,SS
bourju01,Rookie of the Month,2015,NL,,September
braunry02,Player of the Week,2015,NL,,Week of 2015-05-23
brettge01,Bob Feller Act of Valor Award - HOF Player,2015,ML,,
bryankr01,MLB Players Choice Outstanding Rookie,2015,NL,,
bryankr01,Rookie of the Month,2015,NL,,May
bryankr01,Rookie of the Month,2015,NL,,August
bryankr01,Rookie of the Year,2015,NL,,
bryankr01,This Year in Baseball Best Rookie,2015,ML,,Esurance
bryankr01,TSN Rookie of the Year,2015,NL,,
bumgama01,Player of the Week,2015,NL,,Week of 2015-08-16
bumgama01,Silver Slugger,2015,NL,,P
cabremi01,Player of the Week,2015,AL,,Week of 2015-04-12
cabremi01,Silver Slugger,2015,AL,,1B
cainlo01,Player of the Week,2015,AL,Y,Week of 2015-07-19
calhoko01,Gold Glove,2015,AL,,RF
carpema01,Player of the Week,2015,NL,,Week of 2015-04-19
cespeyo01,Gold Glove,2015,AL,,LF
cespeyo01,Player of the Week,2015,NL,,Week of 2015-09-13
choosh01,Player of the Month,2015,AL,,September
colege01,Pitcher of the Month,2015,NL,,April
colonba01,Player of the Week,2015,NL,,Week of 2015-09-06
correca01,MLB Players Choice Outstanding Rookie,2015,AL,,
correca01,Rookie of the Month,2015,AL,,June
correca01,Rookie of the Year,2015,AL,,
correca01,TSN Rookie of the Year,2015,AL,,
crawfbr01,Gold Glove,2015,NL,,SS
crawfbr01,Silver Slugger,2015,NL,,SS
cruzne02,Player of the Month,2015,AL,,April
cruzne02,Player of the Week,2015,AL,,Week of 2015-04-19
cruzne02,Silver Slugger,2015,AL,,OF
daviswa01,Babe Ruth Award,2015,AL,,
daviswa01,This Year in Baseball Best Major Leaguer - Postseason,2015,ML,,Esurance
daviswa01,This Year in Baseball Best Major Leaguer - Postseason,2015,ML,,Esurance
degroja01,Player of the Week,2015,NL,Y,Week of 2015-06-07
deshide02,Rookie of the Month,2015,AL,,May
donaljo02,Hank Aaron Award,2015,AL,,
donaljo02,MLB Players Choice Outstanding Player,2015,AL,,
donaljo02,MLB Players Choice Player of the Year,2015,ML,,
donaljo02,Most Valuable Player,2015,AL,,
donaljo02,Player of the Week,2015,AL,,Week of 2015-05-31
donaljo02,Player of the Week,2015,AL,Y,Week of 2015-08-09
donaljo02,Silver Slugger,2015,AL,,3B
donaljo02,This Year in Baseball Best Play - Defense,2015,ML,,Esurance
donaljo02,This Year in Baseball Best Play - Defense,2015,ML,,Esurance
donaljo02,TSN Major League Player of the Year,2015,ML,,
dudalu01,Player of the Week,2015,NL,Y,Week of 2015-08-02
eatonad02,Player of the Week,2015,AL,Y,Week of 2015-08-02
encared01,Player of the Month,2015,AL,,August
encared01,Player of the Week,2015,AL,,Week of 2015-08-30
escobal02,ALCS MVP,2015,AL,,
escobal02,Gold Glove,2015,AL,,SS
fieldpr01,Comeback Player of the Year,2015,AL,,
fieldpr01,MLB Players Choice Comeback Player,2015,AL,,
fieldpr01,Player of the Week,2015,AL,Y,Week of 2015-09-20
fieldpr01,This Year in Baseball Best Bounceback Player,2015,ML,,Esurance
fieldpr01,TSN Comeback Player of the Year,2015,AL,,
fiersmi01,Player of the Week,2015,AL,,Week of 2015-08-23
forsylo01,Player of the Week,2015,AL,,Week of 2015-09-06
francma02,Rookie of the Month,2015,NL,,June
frazito01,Player of the Week,2015,NL,,Week of 2015-05-31
gardnbr01,Player of the Week,2015,AL,,Week of 2015-06-28
goldspa01,Gold Glove,2015,NL,,1B
goldspa01,Player of the Week,2015,NL,,Week of 2015-05-03
goldspa01,Silver Slugger,2015,NL,,1B
gonzaad01,Player of the Month,2015,NL,,April
gonzaad01,Player of the Week,2015,NL,,Week of 2015-04-12
gonzaca01,Player of the Month,2015,NL,,July
gonzaca01,Player of the Week,2015,NL,Y,Week of 2015-07-26
gonzaca01,Silver Slugger,2015,NL,,OF
gordode01,Gold Glove,2015,NL,,2B
gordode01,Silver Slugger,2015,NL,,2B
grandcu01,Lou Gehrig Memorial Award,2015,ML,,
greinza01,Gold Glove,2015,NL,,P
greinza01,MLB Players Choice Outstanding Pitcher,2015,NL,,
greinza01,Player of the Week,2015,NL,Y,Week of 2015-07-19
guerral01,Rookie of the Month,2015,NL,,April
hamelco01,Player of the Week,2015,NL,Y,Week of 2015-07-26
harpebr03,Hank Aaron Award,2015,ML,,
harpebr03,MLB Players Choice Outstanding Player,2015,NL,,
harpebr03,Most Valuable Player,2015,NL,,
harpebr03,Player of the Month,2015,NL,,May
harpebr03,Player of the Week,2015,NL,,Week of 2015-05-10
harpebr03,Player of the Week,2015,NL,,Week of 2015-05-17
harpebr03,Player of the Week,2015,NL,Y,Week of 2015-09-20
harpebr03,Silver Slugger,2015,NL,,OF
harpebr03,This Year in Baseball Best Major Leaguer,2015,ML,,Esurance
harpebr03,This Year in Baseball Best Player,2015,ML,,Esurance
harvema01,Comeback Player of the Year,2015,NL,,
harvema01,MLB Players Choice Comeback Player,2015,NL,,
harvema01,TSN Comeback Player of the Year,2015,NL,,
heanean01,Rookie of the Month,2015,AL,,July
hechaad01,Player of the Week,2015,NL,,Week of 2015-04-26
hestoch01,Player of the Week,2015,NL,Y,Week of 2015-06-14
heywaja01,Gold Glove,2015,NL,,RF
hosmeer01,Gold Glove,2015,AL,,1B
hosmeer01,This Year in Baseball Best Moment,2015,ML,,Esurance
iwakuhi01,Player of the Week,2015,AL,,Week of 2015-08-16
jonesad01,MLB Players Choice Man of the Year,2015,ML,,
kangju01,Rookie of the Month,2015,NL,,July
kazmisc01,Pitcher of the Month,2015,AL,,July
kershcl01,Pitcher of the Month,2015,NL,,July
kershcl01,Player of the Week,2015,NL,Y,Week of 2015-07-19
kershcl01,Player of the Week,2015,NL,Y,Week of 2015-06-07
keuchda01,Cy Young Award,2015,AL,,
keuchda01,Gold Glove,2015,AL,,P
keuchda01,MLB Players Choice Outstanding Pitcher,2015,AL,,
keuchda01,Pitcher of the Month,2015,AL,,August
keuchda01,Pitcher of the Month,2015,AL,,April
keuchda01,Pitcher of the Month,2015,AL,,May
keuchda01,Player of the Week,2015,AL,Y,Week of 2015-07-19
kiermke01,Gold Glove,2015,AL,,CF
kiermke01,Platinum Glove,2015,AL,,
kiermke01,This Year in Baseball Best Defensive Player,2015,ML,,Esurance
kipnija01,Player of the Month,2015,AL,,May
lindofr01,Rookie of the Month,2015,AL,,September
lucrojo01,Bob Feller Act of Valor Award - MLB Player,2015,ML,,
machama01,Gold Glove,2015,AL,,3B
machama01,Player of the Week,2015,AL,,Week of 2015-06-14
martest01,Gold Glove,2015,NL,,LF
martijd02,Player of the Week,2015,AL,,Week of 2015-07-05
martijd02,Silver Slugger,2015,AL,,OF
mccanbr01,Silver Slugger,2015,AL,,C
mccutan01,Player of the Month,2015,NL,,August
mccutan01,Player of the Week,2015,NL,,Week of 2015-05-24
mccutan01,Player of the Week,2015,NL,,Week of 2015-08-09
mccutan01,Roberto Clemente Award,2015,ML,,
mccutan01,Silver Slugger,2015,NL,,OF
melanma01,Reliever of the Year Award,2015,NL,,
millean01,Reliever of the Year Award,2015,AL,,
millebr02,Player of the Week,2015,AL,,Week of 2015-05-17
molinya01,Gold Glove,2015,NL,,C
molinya01,Platinum Glove,2015,NL,,
moralke01,Outstanding DH Award,2015,AL,,
moralke01,Silver Slugger,2015,AL,,DH
murphda08,NLCS MVP,2015,NL,,
napolmi01,Player of the Week,2015,AL,,Week of 2015-05-24
odorro01,Player of the Week,2015,AL,,Week of 2015-07-26
ortizda01,Player of the Week,2015,AL,,Week of 2015-09-13
perezsa02,Gold Glove,2015,AL,,C
perezsa02,World Series MVP,2015,ML,,
pillake01,Player of the Week,2015,AL,,Week of 2015-09-27
pinedmi01,Player of the Week,2015,AL,,Week of 2015-05-10
polloaj01,Gold Glove,2015,NL,,CF
polloaj01,Player of the Week,2015,NL,,Week of 2015-08-23
poseybu01,Silver Slugger,2015,NL,,C
priceda01,Player of the Week,2015,AL,Y,Week of 2015-08-09
pujolal01,Player of the Month,2015,AL,,June
ramirar01,Player of the Week,2015,NL,,Week of 2015-07-05
reddijo01,Player of the Week,2015,AL,Y,Week of 2015-05-03
salech01,Pitcher of the Month,2015,AL,,June
sanomi01,Rookie of the Month,2015,AL,,August
scherma01,Pitcher of the Month,2015,NL,,May
scherma01,Pitcher of the Month,2015,NL,,June
scherma01,Player of the Week,2015,NL,,Week of 2015-06-21
scherma01,Player of the Week,2015,NL,,Week of 2015-10-04
scherma01,This Year in Baseball Best Performance,2015,ML,,Esurance
stantmi03,Player of the Month,2015,NL,,June
stantmi03,Player of the Week,2015,NL,Y,Week of 2015-06-14
strasst01,Player of the Week,2015,NL,Y,Week of 2015-09-20
syndeno01,Player of the Week,2015,NL,Y,Week of 2015-08-02
teixema01,Player of the Week,2015,AL,,Week of 2015-04-26
travide01,Rookie of the Month,2015,AL,,April
troutmi01,All-Star Game MVP,2015,AL,,
troutmi01,Player of the Month,2015,AL,,July
troutmi01,Player of the Week,2015,AL,,Week of 2015-07-12
troutmi01,Silver Slugger,2015,AL,,OF
wainwad01,Hutch Award,2015,ML,,
altuvjo01,Lou Gehrig Memorial Award,2016,ML,,
altuvjo01,Majestic Athletic Always Game Award,2016,ML,,
altuvjo01,MLB Players Choice Outstanding Player,2016,AL,,
altuvjo01,MLB Players Choice Player of the Year,2016,ML,,
altuvjo01,Player of the Month,2016,AL,,June
altuvjo01,Player of the Week,2016,AL,Y,Week of 2016-04-16
altuvjo01,Silver Slugger,2016,AL,,2B
altuvjo01,TSN All-Star,2016,AL,,2B
altuvjo01,TSN Major League Player of the Year,2016,ML,,
arenano01,Gold Glove,2016,NL,,3B
arenano01,Player of the Week,2016,NL,Y,Week of 2016-04-16
arenano01,Silver Slugger,2016,NL,,3B
arrieja01,Pitcher of the Month,2016,NL,,April
arrieja01,Player of the Week,2016,NL,,Week of 2016-04-23
arrieja01,Silver Slugger,2016,NL,,P
baezja01,NLCS MVP,2016,NL,Y,Co-MVP
beltrad01,Gold Glove,2016,AL,,3B
bettsmo01,Gold Glove,2016,AL,,OF
bettsmo01,Player of the Month,2016,AL,,July
bettsmo01,Silver Slugger,2016,AL,,OF
bettsmo01,TSN All-Star,2016,AL,,OF
blackch02,Player of the Week,2016,NL,,Week of 2016-08-13
blackch02,Player of the Week,2016,NL,,Week of 2016-06-25
blackch02,Silver Slugger,2016,NL,,OF
bogaexa01,Silver Slugger,2016,AL,,SS
bradlja02,Player of the Month,2016,AL,,May
bradlja02,Player of the Week,2016,AL,,Week of 2016-05-14
bradlja02,TSN All-Star,2016,AL,,OF
brittza01,Reliever of the Year Award,2016,AL,,
brittza01,TSN All-Star,2016,AL,,RP
brittza01,TSN Reliever of the Year,2016,AL,,
bryankr01,Hank Aaron Award,2016,NL,,3B
bryankr01,Most Valuable Player,2016,NL,,
bryankr01,Player of the Month,2016,NL,,August
bryankr01,TSN All-Star,2016,NL,,3B
cabreas01,Player of the Week,2016,NL,,Week of 2016-08-27
cabremi01,Player of the Month,2016,AL,,September
cabremi01,Player of the Week,2016,AL,Y,Week of 2016-05-21
