awardID,yearID,lgID,playerID,pointsWon,pointsMax,votesFirst
Most Valuable Player,2015,AL,abreujo02,3,420,0
Most Valuable Player,2017,AL,abreujo02,16,420,0
Most Valuable Player,2019,AL,abreujo02,5,420,0
Most Valuable Player,2020,AL,abreujo02,374,420,21
Most Valuable Player,2021,AL,abreujo02,5,420,0
Most Valuable Player,2022,AL,abreujo02,5,420,0
Rookie of the Year,2024,AL,abreuwi02,11,150,0
Most Valuable Player,2018,NL,acunaro01,19,420,0
Rookie of the Year,2018,NL,acunaro01,144,150,27
Most Valuable Player,2019,NL,acunaro01,155,420,0
Most Valuable Player,2020,NL,acunaro01,21,420,0
Most Valuable Player,2023,NL,acunaro01,420,420,30
Most Valuable Player,2021,NL,adamewi01,8,420,0
Most Valuable Player,2024,NL,adamewi01,54,420,0
Most Valuable Player,2018,NL,aguilje01,7,420,0
Most Valuable Player,2021,NL,albieoz01,12,420,0
Most Valuable Player,2023,NL,albieoz01,4,420,0
Cy Young Award,2022,NL,alcansa01,210,210,30
Most Valuable Player,2022,NL,alcansa01,39,420,0
Most Valuable Player,2019,NL,alonspe01,102,420,0
Rookie of the Year,2019,NL,alonspe01,148,150,29
Most Valuable Player,2022,NL,alonspe01,81,420,0
Most Valuable Player,2023,NL,alonspe01,3,420,0
Most Valuable Player,2015,AL,altuvjo01,44,420,0
Most Valuable Player,2016,AL,altuvjo01,227,420,0
Most Valuable Player,2017,AL,altuvjo01,405,420,27
Most Valuable Player,2018,AL,altuvjo01,9,420,0
Most Valuable Player,2021,AL,altuvjo01,3,420,0
Most Valuable Player,2022,AL,altuvjo01,142,420,0
Most Valuable Player,2024,AL,altuvjo01,1,420,0
Rookie of the Year,2019,AL,alvaryo01,150,150,30
Most Valuable Player,2022,AL,alvaryo01,232,420,0
Most Valuable Player,2023,AL,alvaryo01,16,420,0
Most Valuable Player,2024,AL,alvaryo01,75,420,0
Rookie of the Year,2018,NL,anderbr06,4,150,0
Rookie of the Year,2020,NL,anderia01,1,150,0
Rookie of the Year,2021,NL,anderia01,3,150,0
Rookie of the Year,2016,AL,anderti01,2,150,0
Most Valuable Player,2020,AL,anderti01,125,420,0
Rookie of the Year,2018,AL,andujmi01,89,150,5
Cy Young Award,2015,AL,archech01,29,210,0
Most Valuable Player,2015,NL,arenano01,102,420,0
Most Valuable Player,2016,NL,arenano01,199,420,0
Most Valuable Player,2017,NL,arenano01,229,420,2
Most Valuable Player,2018,NL,arenano01,203,420,0
Most Valuable Player,2019,NL,arenano01,120,420,0
Most Valuable Player,2022,NL,arenano01,232,420,1
Rookie of the Year,2021,AL,arozara01,124,150,22
Rookie of the Year,2019,AL,arraelu01,5,150,0
Most Valuable Player,2022,AL,arraelu01,12,420,0
Most Valuable Player,2023,NL,arraelu01,67,420,0
Most Valuable Player,2024,NL,arraelu01,4,420,0
Cy Young Award,2015,NL,arrieja01,169,210,17
Most Valuable Player,2015,NL,arrieja01,134,420,0
Cy Young Award,2016,NL,arrieja01,2,210,0
Rookie of the Year,2018,NL,baderha01,1,150,0
Most Valuable Player,2018,NL,baezja01,250,420,0
Rookie of the Year,2023,NL,bailepa01,1,150,0
Most Valuable Player,2022,NL,bardda01,2,420,0
Cy Young Award,2020,AL,bassich01,10,210,0
Cy Young Award,2021,AL,bassich01,2,210,0
Cy Young Award,2023,AL,bassich01,4,210,0
Cy Young Award,2018,AL,bauertr01,13,210,0
Most Valuable Player,2018,AL,bauertr01,1,420,0
Cy Young Award,2020,NL,bauertr01,201,210,27
Most Valuable Player,2020,NL,bauertr01,32,420,0
Cy Young Award,2023,AL,bautife01,3,210,0
Most Valuable Player,2015,AL,bautijo02,82,420,0
Rookie of the Year,2021,NL,bednada01,1,150,0
Most Valuable Player,2017,NL,bellico01,38,420,0
Rookie of the Year,2017,NL,bellico01,150,150,30
Most Valuable Player,2019,NL,bellico01,362,420,19
Most Valuable Player,2023,NL,bellico01,49,420,0
Rookie of the Year,2017,NL,belljo02,32,150,0
Most Valuable Player,2020,NL,beltbr01,2,420,0
Most Valuable Player,2015,AL,beltrad01,83,420,0
Most Valuable Player,2016,AL,beltrad01,135,420,1
Rookie of the Year,2017,AL,beninan01,75,150,0
Cy Young Award,2021,AL,berrijo01,8,210,0
Cy Young Award,2015,AL,betande01,1,210,0
Most Valuable Player,2015,AL,bettsmo01,4,420,0
Most Valuable Player,2016,AL,bettsmo01,311,420,9
Most Valuable Player,2017,AL,bettsmo01,110,420,0
Most Valuable Player,2018,AL,bettsmo01,410,420,28
Most Valuable Player,2019,AL,bettsmo01,67,420,0
Most Valuable Player,2020,NL,bettsmo01,268,420,2
Most Valuable Player,2022,NL,bettsmo01,154,420,0
Most Valuable Player,2023,NL,bettsmo01,270,420,0
Most Valuable Player,2024,NL,bettsmo01,24,420,0
Rookie of the Year,2023,AL,bibeeta01,67,150,0
Most Valuable Player,2021,AL,bichebo01,7,420,0
Most Valuable Player,2022,AL,bichebo01,16,420,0
Most Valuable Player,2023,AL,bichebo01,5,420,0
Cy Young Award,2019,AL,biebesh01,64,210,0
Cy Young Award,2020,AL,biebesh01,210,210,30
Most Valuable Player,2020,AL,biebesh01,173,420,0
Cy Young Award,2022,AL,biebesh01,5,210,0
Rookie of the Year,2019,AL,biggica01,7,150,0
Most Valuable Player,2016,NL,blackch02,1,420,0
Most Valuable Player,2017,NL,blackch02,205,420,3
Most Valuable Player,2018,AL,bogaexa01,9,420,0
Most Valuable Player,2019,AL,bogaexa01,147,420,0
Most Valuable Player,2020,AL,bogaexa01,1,420,0
Most Valuable Player,2021,AL,bogaexa01,7,420,0
Most Valuable Player,2022,AL,bogaexa01,50,420,0
Rookie of the Year,2020,NL,bohmal01,74,150,9
Rookie of the Year,2015,NL,bourju01,4,150,0
Cy Young Award,2023,AL,bradiky01,39,210,0
Most Valuable Player,2017,NL,bradlar01,1,420,0
Most Valuable Player,2015,AL,brantmi02,1,420,0
Most Valuable Player,2016,NL,braunry02,2,420,0
Most Valuable Player,2018,AL,bregmal01,192,420,0
Most Valuable Player,2019,AL,bregmal01,335,420,13
Most Valuable Player,2022,AL,bregmal01,4,420,0
Most Valuable Player,2023,AL,bregmal01,1,420,0
Cy Young Award,2016,AL,brittza01,72,210,5
Most Valuable Player,2016,AL,brittza01,11,420,0
Most Valuable Player,2015,NL,bryankr01,34,420,0
Rookie of the Year,2015,NL,bryankr01,150,150,30
Most Valuable Player,2016,NL,bryankr01,415,420,29
Most Valuable Player,2017,NL,bryankr01,132,420,1
Rookie of the Year,2018,NL,buehlwa01,28,150,1
Cy Young Award,2019,NL,buehlwa01,2,210,0
Cy Young Award,2021,NL,buehlwa01,70,210,0
Cy Young Award,2015,NL,bumgama01,8,210,0
Cy Young Award,2016,NL,bumgama01,46,210,0
Most Valuable Player,2016,NL,bumgama01,7,420,0
Cy Young Award,2020,AL,bundydy01,5,210,0
Cy Young Award,2020,NL,burneco01,12,210,0
Cy Young Award,2021,NL,burneco01,151,210,12
Most Valuable Player,2021,NL,burneco01,9,420,0
Cy Young Award,2022,NL,burneco01,20,210,0
Cy Young Award,2023,NL,burneco01,13,210,0
Cy Young Award,2024,AL,burneco01,47,210,0
Rookie of the Year,2015,AL,burnsbi02,6,150,0
Most Valuable Player,2017,AL,buxtoby01,7,420,0
Most Valuable Player,2020,AL,buxtoby01,2,420,0
Most Valuable Player,2015,AL,cabremi01,40,420,0
Most Valuable Player,2016,AL,cabremi01,56,420,0
Most Valuable Player,2015,AL,cainlo01,225,420,0
Most Valuable Player,2018,NL,cainlo01,109,420,0
Most Valuable Player,2016,AL,canoro01,79,420,0
Rookie of the Year,2021,NL,carlsdy01,22,150,0
Most Valuable Player,2015,NL,carpema01,26,420,0
Most Valuable Player,2018,NL,carpema01,105,420,0
Cy Young Award,2015,AL,carraca01,2,210,0
Cy Young Award,2017,AL,carraca01,43,210,0
Most Valuable Player,2023,NL,carroco02,165,420,0
Rookie of the Year,2023,NL,carroco02,150,150,30
Rookie of the Year,2023,AL,casastr01,25,150,0
