playerID,yearID,stint,teamID,lgID,G,G_batting,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,G_old
aardsda01,2015,1,ATL,NL,33,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
abadfe01,2015,1,OAK,AL,62,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
abadfe01,2016,2,BOS,AL,18,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
abadfe01,2016,1,MIN,AL,39,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
abadfe01,2017,1,BOS,AL,48,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
abadfe01,2019,1,SFN,NL,21,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
abadfe01,2021,1,BAL,AL,16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
abadfe01,2023,1,COL,NL,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
abbotan01,2023,1,CIN,NL,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
abbotan01,2024,1,CIN,NL,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abbotco01,2021,1,CHN,NL,8,,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,
abbotco01,2022,1,WAS,NL,16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
abbotco01,2023,1,WAS,NL,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
abramcj01,2022,1,SDN,NL,46,,125,16,29,5,0,2,11,1,2,4,27,0,6,2,2,4,
abramcj01,2022,2,WAS,NL,44,,159,17,41,7,2,0,10,6,2,1,23,0,3,0,0,1,
abramcj01,2023,1,WAS,NL,151,151,563,83,138,28,6,18,64,47,4,32,118,2,13,3,3,7,
abramcj01,2024,1,WAS,NL,138,138,541,79,133,29,6,20,65,31,12,40,128,3,16,1,4,4,0
abreual01,2020,1,NYA,AL,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
abreual01,2021,1,NYA,AL,28,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
abreual01,2022,2,KCA,AL,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
abreual01,2022,3,NYA,AL,22,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
abreual01,2022,1,TEX,AL,7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
abreual01,2023,1,NYA,AL,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
abreubr01,2019,1,HOU,AL,7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
abreubr01,2020,1,HOU,AL,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
abreubr01,2021,1,HOU,AL,31,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
abreubr01,2022,1,HOU,AL,55,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
abreubr01,2023,1,HOU,AL,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
abreubr01,2024,1,HOU,AL,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abreujo02,2015,1,CHA,AL,154,,613,88,178,34,3,30,101,0,0,39,140,11,15,0,1,16,
abreujo02,2016,1,CHA,AL,159,,624,67,183,32,1,25,100,0,2,47,125,7,15,0,9,21,
abreujo02,2017,1,CHA,AL,156,,621,95,189,43,6,33,102,3,0,35,119,6,15,0,4,21,
abreujo02,2018,1,CHA,AL,128,,499,68,132,36,1,22,78,2,0,37,109,7,11,0,6,14,
abreujo02,2019,1,CHA,AL,159,,634,85,180,38,1,33,123,2,2,36,152,4,13,0,10,24,
abreujo02,2020,1,CHA,AL,60,,240,43,76,15,0,19,60,0,0,18,59,1,3,0,1,10,
abreujo02,2021,1,CHA,AL,152,,566,86,148,30,2,30,117,1,0,61,143,3,22,0,10,28,
abreujo02,2022,1,CHA,AL,157,,601,85,183,40,0,15,75,0,0,62,110,2,12,0,4,19,
abreujo02,2023,1,HOU,AL,141,141,540,62,128,23,1,18,90,0,1,42,130,1,6,0,6,16,
abreujo02,2024,1,HOU,AL,35,35,113,10,14,2,0,2,7,0,0,4,28,0,2,0,1,4,0
abreuwi02,2023,1,BOS,AL,28,28,76,10,24,6,0,2,14,3,1,9,23,0,0,0,0,0,
abreuwi02,2024,1,BOS,AL,132,132,399,59,101,33,2,15,58,8,3,40,125,0,3,0,5,7,0
acevedo01,2021,1,OAK,AL,10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
acevedo01,2022,1,OAK,AL,70,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
acevedo01,2023,1,OAK,AL,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
achteaj01,2015,1,MIN,AL,11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
achteaj01,2016,1,LAA,AL,27,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ackledu01,2015,2,NYA,AL,23,,52,6,15,3,2,4,11,0,0,4,7,0,0,0,1,0,
ackledu01,2015,1,SEA,AL,85,,186,22,40,8,1,6,19,2,2,14,38,0,1,3,3,3,
ackledu01,2016,1,NYA,AL,28,,61,6,9,0,0,0,4,0,0,8,9,0,0,0,1,0,
actonga01,2023,1,OAK,AL,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
acunalu01,2024,1,NYN,NL,14,14,39,6,12,2,1,3,6,0,1,1,6,0,0,0,0,1,0
acunaro01,2018,1,ATL,NL,111,,433,78,127,26,4,26,64,16,5,45,123,2,6,0,3,4,
acunaro01,2019,1,ATL,NL,156,,626,127,175,22,2,41,101,37,9,76,188,4,9,0,1,8,
acunaro01,2020,1,ATL,NL,46,,160,46,40,11,0,14,29,8,1,38,60,2,4,0,0,3,
acunaro01,2021,1,ATL,NL,82,,297,72,84,19,1,24,52,17,6,49,85,2,9,0,5,0,
acunaro01,2022,1,ATL,NL,119,,467,71,124,24,0,15,50,29,11,53,126,4,10,0,3,8,
acunaro01,2023,1,ATL,NL,158,159,643,149,217,35,4,41,106,73,14,80,84,3,9,0,3,15,
acunaro01,2024,1,ATL,NL,49,49,192,38,48,8,1,4,15,16,3,27,53,0,3,0,0,4,0
adamecr01,2015,1,COL,NL,26,,53,4,13,1,1,0,3,0,1,3,11,1,1,1,0,0,
adamecr01,2016,1,COL,NL,121,,225,25,49,7,3,2,17,2,3,24,47,0,4,3,0,5,
adamecr01,2017,1,COL,NL,12,,13,1,0,0,0,0,0,0,0,1,6,0,0,0,0,0,
adamecr01,2019,1,SFN,NL,10,,22,1,7,1,0,0,2,0,0,2,8,0,0,0,0,0,
adamewi01,2018,1,TBA,AL,85,,288,43,80,7,0,10,34,6,5,31,95,3,1,1,2,6,
adamewi01,2019,1,TBA,AL,152,,531,69,135,25,1,20,52,4,2,46,153,1,3,3,1,9,
adamewi01,2020,1,TBA,AL,54,,185,29,48,15,1,8,23,2,1,20,74,0,0,0,0,4,
adamewi01,2021,2,MIL,NL,99,,365,61,104,26,0,20,58,4,2,47,105,1,0,0,1,8,
adamewi01,2021,1,TBA,AL,41,,132,16,26,6,1,5,15,1,2,10,51,0,0,0,0,1,
adamewi01,2022,1,MIL,NL,139,,563,83,134,31,0,31,98,8,3,49,166,3,1,0,4,11,
adamewi01,2023,1,MIL,NL,149,149,553,73,120,29,2,24,80,5,3,71,165,1,6,0,6,12,
adamewi01,2024,1,MIL,NL,161,161,610,93,153,33,0,32,112,21,4,74,173,3,1,0,3,12,0
adamja01,2018,1,KCA,AL,31,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
adamja01,2019,1,TOR,AL,23,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
adamja01,2020,1,CHN,NL,13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
adamja01,2021,1,CHN,NL,12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
adamja01,2022,1,TBA,AL,67,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
adamja01,2023,1,TBA,AL,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
adamja01,2024,2,SDN,NL,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adamja01,2024,1,TBA,AL,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adamsau01,2015,1,CLE,AL,28,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
adamsau01,2016,1,CLE,AL,19,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
adamsau01,2019,2,DET,AL,13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
adamsau01,2019,1,MIN,AL,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
adamsau02,2017,1,WAS,NL,6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
adamsau02,2018,1,WAS,NL,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
adamsau02,2019,2,SEA,AL,29,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
adamsau02,2019,1,WAS,NL,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
adamsau02,2020,1,SDN,NL,3,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
adamsau02,2021,1,SDN,NL,65,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
adamsau02,2022,1,SDN,NL,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
adamsau02,2023,1,ARI,NL,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
adamsau02,2024,1,OAK,AL,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adamsch01,2018,1,NYA,AL,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
adamsch01,2019,1,NYA,AL,13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
adamsch01,2020,1,KCA,AL,6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
adamsjo03,2023,1,LAA,AL,17,17,39,1,5,0,0,0,1,1,2,0,16,0,0,0,1,0,
adamsjo03,2024,1,LAA,AL,11,11,35,4,8,0,0,1,4,2,0,3,12,0,0,0,0,1,0
adamsla01,2017,1,ATL,NL,85,,109,19,30,4,1,5,20,10,0,10,37,0,1,1,1,3,
adamsla01,2018,1,ATL,NL,26,,25,10,6,1,0,2,6,1,0,4,8,0,0,0,0,1,
adamsma01,2015,1,SLN,NL,60,,175,14,42,9,0,5,24,1,0,10,41,1,0,0,1,1,
adamsma01,2016,1,SLN,NL,118,,297,37,74,18,0,16,54,0,1,25,81,1,2,0,3,5,
adamsma01,2017,2,ATL,NL,100,,291,42,79,20,1,19,58,0,0,19,71,5,1,0,3,5,
adamsma01,2017,1,SLN,NL,31,,48,4,14,2,0,1,7,0,0,4,17,0,0,0,1,0,
adamsma01,2018,2,SLN,NL,27,,57,5,9,1,0,3,9,0,0,3,18,1,0,0,0,0,
adamsma01,2018,1,WAS,NL,94,,249,37,64,9,0,18,48,0,0,24,55,2,4,0,0,6,
adamsma01,2019,1,WAS,NL,111,,310,42,70,14,0,20,56,0,0,20,115,1,2,0,1,7,
adamsma01,2020,1,ATL,NL,16,,49,4,9,2,0,2,9,0,0,2,18,0,0,0,0,3,
adamsma01,2021,1,COL,NL,22,,36,3,6,1,0,0,2,0,0,4,9,1,0,0,0,1,
adamsri03,2021,1,TOR,AL,12,,28,2,3,2,0,0,0,0,0,2,12,0,0,0,0,1,
adamsri03,2021,2,WAS,NL,35,,71,11,19,6,1,2,10,0,0,13,28,0,6,0,0,1,
adamsri03,2022,1,WAS,NL,48,,142,14,25,4,0,5,10,0,1,12,46,0,1,0,0,2,
adamsri03,2023,1,WAS,NL,44,44,143,8,39,13,2,4,21,0,0,11,45,0,2,1,1,5,
adamsri03,2024,1,WAS,NL,41,41,116,10,26,5,1,2,8,1,0,10,35,1,2,0,2,4,0
adcocna01,2015,1,CIN,NL,13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
adcocty01,2023,1,SEA,AL,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
adcocty01,2024,1,NYN,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adducji02,2017,1,DET,AL,29,,83,14,20,6,2,1,10,1,1,10,27,0,0,0,0,1,
adducji02,2018,1,DET,AL,59,,176,19,47,8,2,3,21,1,0,6,45,0,0,2,1,2,
adducji02,2019,1,CHN,NL,2,,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,
adelljo01,2020,1,LAA,AL,38,,124,9,20,4,0,3,7,0,1,7,55,0,1,0,0,3,
adelljo01,2021,1,LAA,AL,35,,130,17,32,5,2,4,26,2,1,8,32,0,1,1,0,3,
adelljo01,2022,1,LAA,AL,88,,268,22,60,12,2,8,27,4,2,11,107,0,4,0,1,6,
adelljo01,2023,1,LAA,AL,16,17,58,7,12,3,1,3,6,1,0,4,25,0,0,0,0,1,
adelljo01,2024,1,LAA,AL,130,130,405,54,84,15,2,20,62,15,10,35,126,1,7,0,3,9,0
adlemti01,2016,1,CIN,NL,13,,21,2,4,2,0,0,3,0,0,0,11,0,0,2,0,0,
adlemti01,2017,1,CIN,NL,30,,29,0,3,1,0,0,2,0,0,0,10,0,0,3,0,0,
adonjo01,2021,1,WAS,NL,1,,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,
adonjo01,2022,1,WAS,NL,14,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
adonjo01,2023,1,WAS,NL,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
adonjo01,2024,1,WAS,NL,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adriaeh01,2015,1,SFN,NL,52,,113,11,21,7,1,0,11,3,2,15,20,0,4,2,0,2,
adriaeh01,2016,1,SFN,NL,40,,63,3,16,2,0,2,7,0,1,2,13,0,2,4,0,0,
adriaeh01,2017,1,MIN,AL,70,,162,30,43,9,2,2,24,8,1,16,25,1,1,1,6,0,
adriaeh01,2018,1,MIN,AL,114,,335,42,84,23,1,6,39,5,1,24,82,2,1,4,2,4,
adriaeh01,2019,1,MIN,AL,84,,202,34,55,8,3,5,22,0,2,20,40,1,6,2,4,2,
adriaeh01,2020,1,MIN,AL,44,,89,10,17,7,0,0,3,1,0,11,23,0,1,0,0,3,
adriaeh01,2021,1,ATL,NL,109,,182,32,45,9,2,5,28,0,0,21,42,0,2,1,3,4,
adriaeh01,2022,2,ATL,NL,6,,13,3,2,1,0,0,0,0,0,3,3,0,0,0,0,0,
adriaeh01,2022,1,WAS,NL,31,,84,5,15,2,0,0,7,1,0,8,22,0,1,0,1,2,
adriaeh01,2023,1,ATL,NL,5,5,10,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,
adriaeh01,2024,1,LAA,AL,8,8,26,4,5,1,0,1,2,0,0,2,11,0,0,0,0,1,0
affelje01,2015,1,SFN,NL,52,,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,
agrazda01,2019,1,PIT,NL,15,,22,0,2,0,0,0,2,0,0,0,9,0,0,1,1,0,
aguiaju01,2024,1,CIN,NL,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aguilje01,2015,1,CLE,AL,7,,19,0,6,1,0,0,2,0,0,0,7,0,1,0,0,0,
aguilje01,2016,1,CLE,AL,9,,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
aguilje01,2017,1,MIL,NL,133,,279,40,74,15,2,16,52,0,0,25,94,1,4,0,3,8,
aguilje01,2018,1,MIL,NL,149,,492,80,135,25,0,35,108,0,0,58,143,3,6,0,10,19,
aguilje01,2019,1,MIL,NL,94,,222,26,50,9,0,8,34,0,0,31,59,0,2,0,4,11,
aguilje01,2019,2,TBA,AL,37,,92,13,24,3,0,4,16,0,0,12,22,0,0,0,3,1,
aguilje01,2020,1,MIA,NL,51,,188,31,52,10,0,8,34,0,1,23,40,0,1,0,4,5,
aguilje01,2021,1,MIA,NL,131,,449,49,117,23,0,22,93,0,0,46,93,4,3,0,7,11,
aguilje01,2022,2,BAL,AL,16,,49,2,11,1,0,1,2,0,0,1,13,0,0,0,0,0,
aguilje01,2022,1,MIA,NL,113,,415,37,98,18,0,15,49,1,0,27,106,1,4,0,5,8,
aguilje01,2023,1,OAK,AL,36,36,104,8,23,2,0,5,9,0,0,8,31,2,1,0,1,3,
aguilmi01,2021,1,ARI,NL,9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
aguilry01,2022,1,LAA,AL,7,,22,2,3,1,0,0,2,0,0,2,14,0,1,0,1,0,
ahmedni01,2015,1,ARI,NL,134,,421,49,95,17,6,9,34,4,5,29,81,1,1,5,3,4,
ahmedni01,2016,1,ARI,NL,90,,284,26,62,9,1,4,20,5,2,15,58,3,4,2,3,9,
ahmedni01,2017,1,ARI,NL,53,,167,24,42,8,1,6,21,3,4,10,39,3,1,0,0,6,
ahmedni01,2018,1,ARI,NL,153,,516,61,121,33,5,16,70,5,4,40,109,2,2,1,5,15,
ahmedni01,2019,1,ARI,NL,158,,556,79,141,33,6,19,82,8,2,52,113,2,4,1,12,15,
ahmedni01,2020,1,ARI,NL,57,,199,29,53,10,1,5,29,4,0,18,46,0,0,0,0,3,
ahmedni01,2021,1,ARI,NL,129,,434,46,96,30,3,5,38,7,2,34,104,3,2,2,1,9,
ahmedni01,2022,1,ARI,NL,17,,52,7,12,2,0,3,7,0,1,2,15,0,0,0,0,2,
ahmedni01,2023,1,ARI,NL,72,72,198,14,42,10,1,2,17,5,1,12,52,0,0,0,0,0,
ahmedni01,2024,2,LAN,NL,17,17,48,6,11,0,0,1,2,1,0,1,14,0,0,0,0,0,0
ahmedni01,2024,3,SDN,NL,2,2,7,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
ahmedni01,2024,1,SFN,NL,52,52,155,13,36,6,1,1,15,1,1,10,35,0,1,3,3,6,0
akinke01,2020,1,BAL,AL,8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
akinke01,2021,1,BAL,AL,24,,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,
akinke01,2022,1,BAL,AL,45,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
akinke01,2023,1,BAL,AL,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
akinke01,2024,1,BAL,AL,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
akiyash01,2020,1,CIN,NL,54,,155,16,38,6,1,0,9,7,3,25,34,0,2,0,0,1,
akiyash01,2021,1,CIN,NL,88,,162,16,33,8,0,0,12,2,3,14,40,1,4,1,1,1,
alanirj01,2019,2,CIN,NL,8,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,
alanirj01,2019,1,SEA,AL,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
alanirj01,2021,1,CIN,NL,3,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
