yearID,round,playerID,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
2019,ALCS,abreubr01,HOU,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,ALCS,abreubr01,HOU,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,ALDS2,abreubr01,HOU,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,WS,abreubr01,HOU,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,ALCS,abreubr01,HOU,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,ALDS2,abreubr01,HOU,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,ALWC1,abreubr01,HOU,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,ALWC4,abreujo02,CHA,AL,3,14,1,4,1,0,1,2,0,0,0,1,0,0,0,0,1
2021,ALDS1,abreujo02,CHA,AL,4,14,1,5,0,0,0,3,0,0,2,3,0,2,0,0,1
2023,ALCS,abreujo02,HOU,AL,4,16,0,5,0,0,0,1,0,0,1,4,0,0,0,0,0
2023,ALDS2,abreujo02,HOU,AL,2,7,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
2024,NLDS1,acunalu01,NYN,NL,3,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2024,NLCS,acunalu01,NYN,NL,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,NLWC1,acunalu01,NYN,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,NLDS2,acunaro01,ATL,NL,4,16,1,3,1,0,1,4,0,1,1,5,0,0,0,0,0
2019,NLDS2,acunaro01,ATL,NL,5,18,1,8,3,1,1,2,0,1,4,5,0,1,0,0,0
2020,NLWC4,acunaro01,ATL,NL,2,11,0,4,2,0,0,1,1,0,0,4,0,0,0,0,0
2020,NLCS,acunaro01,ATL,NL,7,24,6,4,2,0,0,1,1,0,5,6,0,0,0,0,1
2020,NLDS2,acunaro01,ATL,NL,3,11,4,2,0,0,1,1,1,0,2,7,0,1,0,0,0
2022,NLDS1,acunaro01,ATL,NL,4,15,2,5,1,0,0,0,0,0,1,5,0,1,0,0,0
2023,NLDS1,acunaro01,ATL,NL,4,14,3,2,1,0,0,0,2,0,2,2,0,1,0,0,0
2019,ALDS1,adamewi01,TBA,AL,5,13,3,5,1,0,2,2,0,1,3,3,0,0,0,0,0
2019,ALWC,adamewi01,TBA,AL,1,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2020,ALCS,adamewi01,TBA,AL,7,17,1,2,2,0,0,3,0,0,9,8,0,1,0,0,1
2020,ALDS1,adamewi01,TBA,AL,5,15,2,2,0,0,0,0,0,0,3,6,0,0,0,0,0
2020,ALWC1,adamewi01,TBA,AL,2,6,0,1,0,0,0,0,1,0,1,3,0,0,0,0,0
2020,WS,adamewi01,TBA,AL,6,21,0,3,2,0,0,1,0,1,0,8,0,0,0,0,0
2021,NLDS1,adamewi01,MIL,NL,4,17,0,5,1,0,0,0,0,0,0,9,0,0,0,0,0
2023,NLWC1,adamewi01,MIL,NL,2,7,0,4,1,0,0,1,0,0,1,2,0,0,0,0,0
2024,NLWC1,adamewi01,MIL,NL,3,11,1,2,0,0,0,0,1,0,1,3,0,0,0,0,0
2022,ALWC1,adamja01,TBA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,NLDS2,adamja01,SDN,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,NLWC2,adamja01,SDN,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,NLWC2,adamsau02,SDN,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,NLDS1,adamsau02,SDN,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,NLDS2,adamsla01,ATL,NL,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2019,NLCS,adamsma01,WAS,NL,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,WS,adamsma01,WAS,NL,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
