playerID,yearID,stint,teamID,lgID,POS,G,GS,InnOuts,PO,A,E,DP,PB,WP,SB,CS,ZR
aardsda01,2015,1,ATL,NL,P,33,0,92,0,1,1,0,,,,,
abadfe01,2015,1,OAK,AL,P,62,0,143,2,4,0,0,,,,,
abadfe01,2016,2,BOS,AL,P,18,0,38,0,1,0,0,,,,,
abadfe01,2016,1,MIN,AL,P,39,0,102,0,3,0,1,,,,,
abadfe01,2017,1,BOS,AL,P,48,0,131,0,6,0,1,,,,,
abadfe01,2019,1,SFN,NL,P,21,0,39,0,0,0,0,,,,,
abadfe01,2021,1,BAL,AL,P,16,0,53,0,3,0,0,,,,,
abadfe01,2023,1,COL,NL,P,6,0,19,0,0,1,0,,,,,
abbotan01,2023,1,CIN,NL,P,21,21,328,1,9,0,1,,,,,
abbotan01,2024,1,CIN,NL,P,25,25,414,6,8,0,0,,,,,
abbotco01,2021,1,CHN,NL,P,7,1,52,2,1,0,0,,,,,
abbotco01,2022,1,WAS,NL,P,16,9,144,2,1,0,0,,,,,
abbotco01,2023,1,WAS,NL,P,22,0,118,0,1,0,1,,,,,
abramcj01,2022,1,SDN,NL,2B,13,6,198,13,22,2,3,,,,,
abramcj01,2022,1,SDN,NL,SS,32,28,758,34,64,2,8,,,,,
abramcj01,2022,1,SDN,NL,OF,3,1,36,4,0,0,0,,,,,
abramcj01,2022,2,WAS,NL,SS,43,43,1098,55,120,11,26,,,,,
abramcj01,2023,1,WAS,NL,SS,151,148,3884,245,384,22,100,,,,,
abramcj01,2024,1,WAS,NL,SS,136,135,3512,160,349,17,68,,,,,
abreual01,2020,1,NYA,AL,P,2,0,4,0,0,0,0,,,,,
abreual01,2021,1,NYA,AL,P,28,0,110,6,3,0,0,,,,,
abreual01,2022,2,KCA,AL,P,4,0,13,1,0,0,0,,,,,
abreual01,2022,3,NYA,AL,P,22,0,77,1,5,2,1,,,,,
abreual01,2022,1,TEX,AL,P,7,0,26,0,0,0,0,,,,,
abreual01,2023,1,NYA,AL,P,45,0,177,6,4,2,0,,,,,
abreubr01,2019,1,HOU,AL,P,7,0,26,2,2,0,0,,,,,
abreubr01,2020,1,HOU,AL,P,4,0,10,2,0,0,0,,,,,
abreubr01,2021,1,HOU,AL,P,31,0,108,7,3,0,1,,,,,
abreubr01,2022,1,HOU,AL,P,55,0,181,2,6,0,0,,,,,
abreubr01,2023,1,HOU,AL,P,72,0,216,5,6,0,0,,,,,
abreubr01,2024,1,HOU,AL,P,78,0,235,5,3,0,0,,,,,
abreujo02,2015,1,CHA,AL,1B,115,115,3051,952,60,11,100,,,,,
