playerID,yearid,votedBy,ballots,needed,votes,inducted,category,needed_note
abreubo01,2020,BBWAA,397,298,22,N,Player,
abreubo01,2021,BBWAA,401,301,35,N,Player,
abreubo01,2022,BBWAA,394,296,34,N,Player,
abreubo01,2023,BBWAA,389,292,60,N,Player,
abreubo01,2024,BBWAA,385,289,57,N,Player,
abreubo01,2025,BBWAA,394,296,77,N,Player,
adamsdo99,2016,Veterans - Pre-Integration Era,16,12,10,N,Pioneer,
allendi01,2015,Veterans - Golden Era,16,12,11,N,Player,
allendi01,2022,Veterans - Golden Age Era,16,12,11,N,Player,
allendi01,2025,Classic Baseball Era,16,12,13,Y,Player,
anderga01,2016,BBWAA,440,330,1,N,Player,
ankieri01,2019,BBWAA,425,319,0,N,Player,
arroybr01,2023,BBWAA,389,292,1,N,Player,
aurilri01,2015,BBWAA,549,412,0,N,Player,
ausmubr01,2016,BBWAA,440,330,0,N,Player,
bagweje01,2015,BBWAA,549,412,306,N,Player,
bagweje01,2016,BBWAA,440,330,315,N,Player,
bagweje01,2017,BBWAA,442,332,381,Y,Player,
baineha01,2017,Veterans - Today's Game Era,16,12,,N,Player,<5 votes
baineha01,2019,Veterans - Today's Game Era,16,12,12,Y,Player,
bautijo02,2024,BBWAA,385,289,6,N,Player,
bayja01,2019,BBWAA,425,319,0,N,Player,
beckejo02,2020,BBWAA,397,298,0,N,Player,
belleal01,2017,Veterans - Today's Game Era,16,12,,N,Player,<5 votes
belleal01,2019,Veterans - Today's Game Era,16,12,,N,Player,<5 votes
belleal01,2023,Contemporary Era,16,12,,N,Player,<4 votes
bellhe01,2020,BBWAA,397,298,0,N,Player,
beltrad01,2024,BBWAA,385,289,366,Y,Player,
beltrca01,2023,BBWAA,389,292,181,N,Player,
beltrca01,2024,BBWAA,385,289,220,N,Player,
beltrca01,2025,BBWAA,394,296,277,N,Player,
berkmla01,2019,BBWAA,425,319,5,N,Player,
biggicr01,2015,BBWAA,549,412,454,Y,Player,
blakeca01,2017,BBWAA,442,332,0,N,Player,
bondsba01,2015,BBWAA,549,412,202,N,Player,
bondsba01,2016,BBWAA,440,330,195,N,Player,
bondsba01,2017,BBWAA,442,332,238,N,Player,
bondsba01,2018,BBWAA,422,317,238,N,Player,
bondsba01,2019,BBWAA,425,319,251,N,Player,
bondsba01,2020,BBWAA,397,298,241,N,Player,
bondsba01,2021,BBWAA,401,301,248,N,Player,
bondsba01,2022,BBWAA,394,296,260,N,Player,
bondsba01,2023,Contemporary Era,16,12,,N,Player,<4 votes
booneaa01,2015,BBWAA,549,412,2,N,Player,
boyerke01,2015,Veterans - Golden Era,16,12,,N,Player,<3 votes
boyerke01,2022,Veterans - Golden Age Era,16,12,,N,Player,<4 votes
boyerke01,2025,Classic Baseball Era,16,12,,N,Player,<5 votes
breadsa99,2016,Veterans - Pre-Integration Era,16,12,,N,Executive,<4 votes
buehrma01,2021,BBWAA,401,301,44,N,Player,
buehrma01,2022,BBWAA,394,296,23,N,Player,
buehrma01,2023,BBWAA,389,292,42,N,Player,
buehrma01,2024,BBWAA,385,289,32,N,Player,
buehrma01,2025,BBWAA,394,296,45,N,Player,
burneaj01,2021,BBWAA,401,301,0,N,Player,
burrepa01,2017,BBWAA,442,332,0,N,Player,
cabreor01,2017,BBWAA,442,332,0,N,Player,
cainma01,2023,BBWAA,389,292,0,N,Player,
camermi01,2017,BBWAA,442,332,0,N,Player,
carpech01,2018,BBWAA,422,317,2,N,Player,
cartejo01,2019,Veterans - Today's Game Era,16,12,,N,Player,<5 votes
castilu01,2016,BBWAA,440,330,0,N,Player,
chaveer01,2020,BBWAA,397,298,2,N,Player,
clarkto02,2015,BBWAA,549,412,0,N,Player,
clarkwi02,2017,Veterans - Today's Game Era,16,12,,N,Player,<5 votes
clarkwi02,2019,Veterans - Today's Game Era,16,12,,N,Player,<5 votes
clemero02,2015,BBWAA,549,412,206,N,Player,
clemero02,2016,BBWAA,440,330,199,N,Player,
clemero02,2017,BBWAA,442,332,239,N,Player,
clemero02,2018,BBWAA,422,317,242,N,Player,
clemero02,2019,BBWAA,425,319,253,N,Player,
clemero02,2020,BBWAA,397,298,242,N,Player,
clemero02,2021,BBWAA,401,301,247,N,Player,
clemero02,2022,BBWAA,394,296,257,N,Player,
clemero02,2023,Contemporary Era,16,12,,N,Player,<4 votes
colonba01,2024,BBWAA,385,289,5,N,Player,
crawfca02,2022,BBWAA,394,296,0,N,Player,
cuddymi01,2021,BBWAA,401,301,0,N,Player,
dahlebi01,2016,Veterans - Pre-Integration Era,16,12,8,N,Player,
dahlebi01,2022,Veterans - Early Baseball Era,16,12,,N,Player,<4 votes
damonjo01,2018,BBWAA,422,317,8,N,Player,
delgaca01,2015,BBWAA,549,412,21,N,Player,
dickera01,2023,BBWAA,389,292,1,N,Player,
donaljo01,2022,Veterans - Early Baseball Era,16,12,8,N,Player,
donaljo03,2025,Classic Baseball Era,16,12,,N,Player,<5 votes
drewjd01,2017,BBWAA,442,332,0,N,Player,
dunnad01,2020,BBWAA,397,298,1,N,Player,
dyeje01,2015,BBWAA,549,412,0,N,Player,
eckstda01,2016,BBWAA,440,330,2,N,Player,
edmonji01,2016,BBWAA,440,330,11,N,Player,
ellsbja01,2023,BBWAA,389,292,0,N,Player,
erstada01,2015,BBWAA,549,412,1,N,Player,
