playerID,yearID,round,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
abreubr01,2019,ALCS,HOU,AL,0,0,1,0,0,0,0,2,2,2,1,2,0,0.5,27,0,0,0,0,6,0,2,0,0,0
abreubr01,2022,ALCS,HOU,AL,0,0,3,0,0,0,0,9,2,0,0,1,4,0.182,0,0,0,0,0,12,1,0,0,0,0
abreubr01,2022,ALDS2,HOU,AL,0,0,3,0,0,0,0,10,1,0,0,1,6,0.091,0,0,0,0,0,12,0,0,0,0,0
abreubr01,2022,WS,HOU,AL,0,0,4,0,0,0,0,15,1,0,0,2,9,0.062,0,0,0,1,0,19,0,0,0,0,0
abreubr01,2023,ALCS,HOU,AL,0,0,4,0,0,0,0,12,3,3,1,0,7,0.2,6.75,0,0,1,0,16,1,3,0,0,0
abreubr01,2023,ALDS2,HOU,AL,0,0,1,0,0,0,0,4,2,0,0,0,3,0.333,0,0,1,0,0,6,0,0,0,0,0
abreubr01,2024,ALWC1,HOU,AL,0,0,1,0,0,0,0,4,0,0,0,1,2,0,0,0,0,0,0,5,0,0,0,0,0
adamja01,2022,ALWC1,TBA,AL,0,0,1,0,0,0,0,6,1,0,0,0,2,0.2,0,0,0,1,0,6,0,0,0,0,2
adamja01,2024,NLDS2,SDN,NL,0,0,3,0,0,0,0,10,1,0,0,0,2,0.091,0,0,0,0,0,11,0,0,0,0,0
adamja01,2024,NLWC2,SDN,NL,0,0,2,0,0,0,0,6,3,2,1,0,4,0.333,9,0,0,0,0,9,0,2,0,0,0
adamsau02,2020,NLDS1,SDN,NL,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0
adamsau02,2020,NLWC2,SDN,NL,1,0,2,0,0,0,0,3,0,1,0,1,1,0,9,0,0,1,0,5,0,1,0,0,0
akinke01,2024,ALWC2,BAL,AL,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0
alberma01,2017,NLDS2,WAS,NL,0,0,2,0,0,0,0,7,1,0,0,1,0,0.125,0,0,0,0,0,9,0,0,0,0,0
alcansa01,2020,NLDS2,MIA,NL,0,1,1,1,0,0,0,18,8,5,1,1,8,0.308,7.5,0,0,1,0,28,0,5,0,0,0
alcansa01,2020,NLWC3,MIA,NL,1,0,1,1,0,0,0,20,3,1,1,3,4,0.13,1.35,0,0,1,0,27,0,1,0,0,0
alexasc01,2018,NLDS2,LAN,NL,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0
alexasc01,2018,WS,LAN,NL,0,0,3,0,0,0,0,4,1,2,0,2,2,0.2,13.5,0,1,0,0,7,0,2,0,0,0
allenco01,2016,ALCS,CLE,AL,0,0,4,0,0,0,3,14,1,0,0,1,7,0.067,0,0,0,0,0,16,3,0,0,0,0
allenco01,2016,ALDS2,CLE,AL,0,0,2,0,0,0,2,9,4,0,0,2,5,0.308,0,0,0,0,0,15,2,0,0,0,0
allenco01,2016,WS,CLE,AL,0,0,4,0,0,0,1,18,3,0,0,2,12,0.143,0,1,0,1,0,24,3,0,0,0,0
allenco01,2017,ALDS1,CLE,AL,0,0,4,0,0,0,1,16,5,1,0,3,8,0.227,1.69,0,0,0,0,25,1,2,0,0,0
allenco01,2018,ALDS2,CLE,AL,0,0,2,0,0,0,0,3,4,6,2,2,2,0.571,54,2,1,0,0,9,0,6,0,0,0
almonye01,2022,NLDS2,LAN,NL,0,1,3,0,0,0,0,7,2,2,0,0,6,0.222,7.71,0,0,0,0,9,0,2,0,0,0
altavda01,2020,NLDS1,SDN,NL,0,0,2,0,0,0,0,6,2,1,0,1,2,0.286,4.5,0,0,0,0,9,1,1,0,1,0
alvarjo02,2021,NLDS2,SFN,NL,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
