yearID,round,teamIDwinner,lgIDwinner,teamIDloser,lgIDloser,wins,losses,ties
2015,ALWC,HOU,AL,NYA,AL,1,0,0
2015,NLWC,CHN,NL,PIT,NL,1,0,0
2015,ALDS1,KCA,AL,HOU,AL,3,2,0
2015,ALDS2,TOR,AL,TEX,AL,3,2,0
2015,NLDS1,CHN,NL,SLN,NL,3,1,0
2015,NLDS2,NYN,NL,LAN,NL,3,2,0
2015,ALCS,KCA,AL,TOR,AL,4,2,0
2015,NLCS,NYN,NL,CHN,NL,4,0,0
2015,WS,KCA,AL,NYN,NL,4,1,0
2016,ALWC,TOR,AL,BAL,AL,1,0,0
2016,NLWC,SFN,NL,NYN,NL,1,0,0
2016,ALDS1,TOR,AL,TEX,AL,3,0,0
2016,ALDS2,CLE,AL,BOS,AL,3,0,0
2016,NLDS1,CHN,NL,SFN,NL,3,1,0
2016,NLDS2,LAN,NL,WAS,NL,3,2,0
2016,ALCS,CLE,AL,TOR,AL,4,1,0
2016,NLCS,CHN,NL,LAN,NL,4,2,0
2016,WS,CHN,NL,CLE,AL,4,3,0
2017,ALWC,NYA,AL,MIN,AL,1,0,0
2017,NLWC,ARI,NL,COL,NL,1,0,0
2017,ALDS1,NYA,AL,CLE,AL,3,2,0
2017,ALDS2,HOU,AL,BOS,AL,3,1,0
2017,NLDS1,LAN,NL,ARI,NL,3,0,0
2017,NLDS2,CHN,NL,WAS,NL,3,2,0
2017,ALCS,HOU,AL,NYA,AL,4,3,0
2017,NLCS,LAN,NL,CHN,NL,4,1,0
2017,WS,HOU,AL,LAN,NL,4,3,0
2018,ALWC,NYA,AL,OAK,AL,1,0,0
2018,NLWC,COL,NL,CHN,NL,1,0,0
2018,ALDS1,BOS,AL,NYA,AL,3,1,0
2018,ALDS2,HOU,AL,CLE,AL,3,0,0
2018,NLDS1,MIL,NL,COL,NL,3,0,0
2018,NLDS2,LAN,NL,ATL,NL,3,1,0
2018,ALCS,BOS,AL,HOU,AL,4,1,0
2018,NLCS,LAN,NL,MIL,NL,4,3,0
2018,WS,BOS,AL,LAN,NL,4,1,0
2019,ALWC,TBA,AL,OAK,AL,1,0,0
2019,NLWC,WAS,NL,MIL,NL,1,0,0
2019,ALDS1,HOU,AL,TBA,AL,3,2,0
2019,ALDS2,NYA,AL,MIN,AL,3,0,0
2019,NLDS1,WAS,NL,LAN,NL,3,2,0
2019,NLDS2,SLN,NL,ATL,NL,3,2,0
2019,ALCS,HOU,AL,NYA,AL,4,2,0
2019,NLCS,WAS,NL,SLN,NL,4,0,0
2019,WS,WAS,NL,HOU,AL,4,3,0
2020,ALWC1,TBA,AL,TOR,AL,2,0,0
2020,ALWC2,NYA,AL,CLE,AL,2,0,0
2020,ALWC3,HOU,AL,MIN,AL,2,0,0
2020,ALWC4,OAK,AL,CHA,AL,2,1,0
2020,NLWC1,LAN,NL,MIL,NL,2,0,0
2020,NLWC2,SDN,NL,SLN,NL,2,1,0
2020,NLWC3,MIA,NL,CHN,NL,2,0,0
2020,NLWC4,ATL,NL,CIN,NL,2,0,0
2020,ALDS1,TBA,AL,NYA,AL,3,2,0
2020,ALDS2,HOU,AL,OAK,AL,3,1,0
2020,NLDS1,LAN,NL,SDN,NL,3,0,0
2020,NLDS2,ATL,NL,MIA,NL,3,0,0
2020,ALCS,TBA,AL,HOU,AL,4,3,0
2020,NLCS,LAN,NL,ATL,NL,4,3,0
2020,WS,LAN,NL,TBA,AL,4,2,0
2021,ALWC,BOS,AL,NYA,AL,1,0,0
2021,NLWC,LAN,NL,SLN,NL,1,0,0
2021,ALDS1,HOU,AL,CHA,AL,3,1,0
2021,ALDS2,BOS,AL,TBA,AL,3,1,0
2021,NLDS1,ATL,NL,MIL,NL,3,1,0
2021,NLDS2,LAN,NL,SFN,NL,3,2,0
2021,ALCS,HOU,AL,BOS,AL,4,2,0
2021,NLCS,ATL,NL,LAN,NL,4,2,0
2021,WS,ATL,NL,HOU,AL,4,2,0
2022,ALWC1,CLE,AL,TBA,AL,2,0,0
2022,ALWC2,SEA,AL,TOR,AL,2,0,0
2022,NLWC1,SDN,NL,NYN,NL,2,1,0
2022,NLWC2,PHI,NL,SLN,NL,2,0,0
